Run Number,Well,Time - DROP,CP - DROP (psi),TP - DROP (psi),LP - DROP (psi),Liquid Load - DROP (psi),Fluid in Tubing - DROP (bbl),Time - ARRIVING,CP - ARRIVING (psi),TP - ARRIVING (psi),LP - ARRIVING (psi),Lift Pressure - ARRIVING (psi),Lift Factor - ARRIVING,Rise Time (m),Rise Velocity (fpm),Good,Miss,Open Duration (m),Close Duration (m),Gas,Liquid
1443,Pickle_1-8-5-32H-2,2/5/2025 7:28,163.28,70.36,63.73,92.92,1.19,2/5/2025 7:00,169.25,90.11,29.3,139.94,1.77,14.91666667,274.3240223,1,0,28.05,1.166666667,0.11,
1442,Pickle_1-8-5-32H-2,2/5/2025 6:59,167.69,37.78,31.52,129.9,1.66,2/5/2025 6:38,167.69,80.51,27.53,140.16,1.61,16.75,244.2985075,1,0,20.8,1.083333333,0.11,
1441,Pickle_1-8-5-32H-2,2/5/2025 6:37,164.32,41.68,32.24,122.64,1.56,2/5/2025 6:19,164.66,79.53,49.2,115.47,1.36,14.03333333,291.5914489,1,0,17.95,1.116666667,0.14,
1440,Pickle_1-8-5-32H-2,2/5/2025 6:18,160.37,51.42,47.3,108.95,1.39,2/5/2025 5:59,164.55,74.02,46.06,118.49,1.31,16.98333333,240.9421001,1,0,19.58333333,1.133333333,0.06,
1439,Pickle_1-8-5-32H-2,2/5/2025 5:57,160.02,59.09,55.85,100.93,1.29,2/5/2025 5:34,167.72,80.83,26.97,140.74,1.62,19.88333333,205.8005029,1,0,23.01666667,1.116666667,0.16,
1438,Pickle_1-8-5-32H-2,2/5/2025 5:33,166.28,35.05,30.31,131.23,1.67,2/5/2025 5:17,168.81,131.48,52.8,116.02,3.11,11,372,1,0,16.13333333,1.166666667,0.12,
1437,Pickle_1-8-5-32H-2,2/5/2025 5:16,165.99,61.97,53.32,104.02,1.33,2/5/2025 4:51,169.1,98.44,26.14,142.96,2.02,14.15,289.1872792,1,0,25.41666667,1.116666667,0.13,
1436,Pickle_1-8-5-32H-2,2/5/2025 4:49,167.49,38.02,29.82,129.47,1.65,2/5/2025 4:22,168.29,69.07,41.25,127.04,1.28,22.43333333,182.4071322,1,0,27.61666667,1.15,0.16,
1435,Pickle_1-8-5-32H-2,2/5/2025 4:21,162.04,53.9,51.03,108.14,1.38,2/5/2025 3:36,162.07,56.81,42.9,119.17,1.13,41.23333333,99.24009701,1,0,45.13333333,1.15,0.15,
1434,Pickle_1-8-5-32H-2,2/5/2025 3:34,156.91,44.88,41.54,112.04,1.43,2/5/2025 3:09,156.91,74.23,39.83,117.08,1.42,21.5,190.3255814,1,0,25.33333333,1.116666667,0,
1433,Pickle_1-8-5-32H-2,2/5/2025 3:08,152.85,45.08,39.79,107.77,1.37,2/5/2025 2:54,160.17,116.26,48.04,112.12,2.55,11.46666667,356.8604651,1,0,14.28333333,1.166666667,0.06,
1432,Pickle_1-8-5-32H-2,2/5/2025 2:52,158.24,54.05,45.88,104.19,1.33,2/5/2025 2:09,167.98,84.69,31.98,136,1.63,13.31666667,307.2841051,1,0,43.53333333,1.133333333,0.11,
1431,Pickle_1-8-5-32H-2,2/5/2025 2:08,167.14,34.87,31.4,132.27,1.69,2/5/2025 1:51,165.67,87.37,35.73,129.94,1.66,12.96666667,315.5784062,1,0,16.91666667,1.166666667,0.07,
1430,Pickle_1-8-5-32H-2,2/5/2025 1:50,163.22,42.05,35.93,121.17,1.55,2/5/2025 1:29,163.22,82.88,71.55,91.68,1.14,17.68333333,231.4043355,1,0,20.71666667,1.166666667,0.11,
1429,Pickle_1-8-5-32H-2,2/5/2025 1:28,154.72,73.97,70.52,80.76,1.03,2/5/2025 1:02,160.69,65.58,32.13,128.56,1.35,22.4,182.6785714,1,0,25.63333333,1.116666667,0,
1428,Pickle_1-8-5-32H-2,2/5/2025 1:01,157.98,44.93,42.32,113.04,1.44,2/5/2025 0:37,167.34,101.21,47.36,119.98,1.81,19.85,206.1460957,1,0,23.65,1.15,0.17,
1427,Pickle_1-8-5-32H-2,2/5/2025 0:36,162.68,61.37,55.34,101.31,1.29,2/5/2025 0:21,171.18,134.14,61.48,109.69,2.96,11.26666667,363.1952663,1,0,15.31666667,1.116666667,0.16,
1426,Pickle_1-8-5-32H-2,2/5/2025 0:20,167.86,71.08,64.28,96.78,1.23,2/5/2025 0:02,169.94,97.84,46.36,123.57,1.71,10.2,401.1764706,1,0,18.23333333,1.116666667,0.11,
1425,Pickle_1-8-5-32H-2,2/5/2025 0:01,167.37,53.64,50.19,113.73,1.45,2/4/2025 23:44,167.46,96.77,38.04,129.42,1.83,13.16666667,310.7848101,1,0,16.51666667,1.15,0.1,
1424,Pickle_1-8-5-32H-2,2/4/2025 23:43,164.84,46.43,41.2,118.4,1.51,2/4/2025 23:25,166.28,81.55,63.38,102.9,1.21,14.7,278.3673469,1,0,17.41666667,1.1,0.12,
1423,Pickle_1-8-5-32H-2,2/4/2025 23:24,158.79,74.54,71.78,84.24,1.07,2/4/2025 22:50,163.74,65.35,43.83,119.92,1.22,30.56666667,133.8713195,1,0,34.05,1.15,0.05,
1422,Pickle_1-8-5-32H-2,2/4/2025 22:49,157.2,60.79,58.45,96.41,1.23,2/4/2025 22:21,157.03,78.44,35.12,121.9,1.55,23.96666667,170.7371349,1,0,27.85,1.183333333,0.16,
1421,Pickle_1-8-5-32H-2,2/4/2025 22:20,154.35,47.93,43.93,106.41,1.36,2/4/2025 22:01,162.76,108.25,31.42,131.34,2.41,16.8,243.5714286,1,0,19.01666667,1.116666667,0.14,
1420,Pickle_1-8-5-32H-2,2/4/2025 22:00,160.08,45.66,35.82,114.43,1.46,2/4/2025 21:14,169.07,74,28.97,140.1,1.47,14.18333333,288.5076381,1,0,46.35,1.166666667,0.15,
1419,Pickle_1-8-5-32H-2,2/4/2025 21:12,166.91,38.22,34.98,128.69,1.64,2/4/2025 20:54,165.53,76.53,39.05,126.47,1.42,14.88333333,274.9384099,1,0,18.56666667,1.116666667,0.1,
1418,Pickle_1-8-5-32H-2,2/4/2025 20:53,157.34,40.26,34.16,117.08,1.49,2/4/2025 20:33,162.73,76.16,54.5,108.23,1.25,16.45,248.7537994,1,0,19.85,1.15,0.06,
1417,Pickle_1-8-5-32H-2,2/4/2025 20:32,157.11,57.48,53.84,99.64,1.27,2/4/2025 20:25,163.63,128.95,76.75,86.88,2.51,4.033333333,1014.545455,1,0,6.316666667,1.166666667,0.05,
1416,Pickle_1-8-5-32H-2,2/4/2025 20:24,163.6,85.12,80.98,78.47,1,2/4/2025 19:34,170.71,147.43,65.03,105.69,4.54,50.03333333,81.78547635,0,1,50.03333333,1.116666667,0.11,
1415,Pickle_1-8-5-32H-2,2/4/2025 19:33,167.17,78.41,71.22,88.76,1.13,2/4/2025 19:00,170.83,113.7,52.37,118.46,2.07,13.11666667,311.9695044,1,0,33.63333333,1.116666667,0.18,
1414,Pickle_1-8-5-32H-2,2/4/2025 18:58,167.69,62.38,55.57,105.31,1.34,2/4/2025 18:35,171.38,70.28,34.04,137.34,1.36,13.25,308.8301887,1,0,23.11666667,1.166666667,0.11,
1413,Pickle_1-8-5-32H-2,2/4/2025 18:34,166.48,41.99,38.93,124.48,1.59,2/4/2025 18:12,174.11,100.81,78.84,95.28,1.3,17.71666667,230.9689558,1,0,21.7,1.116666667,0.09,
1412,Pickle_1-8-5-32H-2,2/4/2025 18:11,169.53,79.73,76.1,89.8,1.15,2/4/2025 17:51,175.56,137.28,66.22,109.33,2.86,16.45,248.7537994,1,0,20.15,1.116666667,0,
1411,Pickle_1-8-5-32H-2,2/4/2025 17:50,172.59,70.05,61.59,102.54,1.31,2/4/2025 17:26,175.15,99.77,40.73,134.42,1.78,12.33333333,331.7837838,1,0,23.73333333,1.1,0.09,
1410,Pickle_1-8-5-32H-2,2/4/2025 17:25,173.37,41.94,37.43,131.43,1.68,2/4/2025 17:05,174.98,86.74,63.05,111.93,1.27,15.48333333,264.2841765,1,0,19.66666667,1.166666667,0.08,
1409,Pickle_1-8-5-32H-2,2/4/2025 17:04,169.16,70.31,66.96,98.85,1.26,2/4/2025 16:31,172.53,61.22,48.37,124.16,1.12,29.86666667,137.0089286,1,0,33.56666667,1.133333333,0.04,
1408,Pickle_1-8-5-32H-2,2/4/2025 16:30,163.86,51.57,48.48,112.29,1.43,2/4/2025 15:41,184.66,91.7,32.75,151.91,1.63,45.4,90.13215859,1,0,49.01666667,1.133333333,0.02,
1407,Pickle_1-8-5-32H-2,2/4/2025 15:40,188.9,43.35,39.25,145.55,1.86,2/4/2025 14:49,161.32,42.05,29.62,131.7,1.1,50.01666667,81.81272909,0,1,50.01666667,1.133333333,0.14,
1406,Pickle_1-8-5-32H-2,2/4/2025 14:48,156.28,34.7,31.68,121.58,1.55,2/4/2025 13:57,168.06,119.78,64.53,103.53,2.14,46.35,88.28478964,1,0,50.98333333,1.183333333,0.05,
1405,Pickle_1-8-5-32H-2,2/4/2025 13:56,164.95,72.12,67.58,92.83,1.18,2/4/2025 13:38,168.38,76.71,29.83,138.55,1.51,13.91666667,294.0359281,1,0,17.78333333,1.133333333,0.14,
1404,Pickle_1-8-5-32H-2,2/4/2025 13:37,166.22,40.26,36.88,125.96,1.61,2/4/2025 13:15,164.46,65.43,27.76,136.7,1.38,18.16666667,225.2477064,1,0,21.96666667,1.116666667,0.13,
1403,Pickle_1-8-5-32H-2,2/4/2025 13:14,161.46,38.65,34.43,122.82,1.57,2/4/2025 12:56,160.86,72.35,41.79,119.07,1.35,15.26666667,268.0349345,1,0,18.28333333,1.116666667,0.13,
1402,Pickle_1-8-5-32H-2,2/4/2025 12:55,157.75,46.09,42.25,111.66,1.42,2/4/2025 12:36,160.86,81.03,56.92,103.94,1.3,15.21666667,268.9156627,1,0,18.4,1.116666667,0.05,
1401,Pickle_1-8-5-32H-2,2/4/2025 12:35,152.71,69.9,67.46,82.8,1.06,2/4/2025 12:06,165.5,137.74,50.27,115.23,4.15,25.91666667,157.8906752,1,0,29.2,1.133333333,0.15,
1400,Pickle_1-8-5-32H-2,2/4/2025 12:05,162.44,64.28,54.38,98.16,1.25,2/4/2025 11:28,167.49,81.52,29.06,138.43,1.61,12.25,334.0408163,1,0,37.08333333,1.1,0.16,
1399,Pickle_1-8-5-32H-2,2/4/2025 11:27,165.84,34.93,30.98,130.91,1.67,2/4/2025 11:06,166.36,66.44,30.39,135.97,1.36,16.71666667,244.7856431,1,0,20.48333333,1.116666667,0.1,
1398,Pickle_1-8-5-32H-2,2/4/2025 11:05,163.77,35.02,31.22,128.75,1.64,2/4/2025 10:45,160.23,83.77,45.76,114.47,1.5,15.86666667,257.8991597,1,0,20.15,1.1,0.06,
1397,Pickle_1-8-5-32H-2,2/4/2025 10:44,157.63,52.6,49.32,105.03,1.34,2/4/2025 10:27,162.24,105.31,68.44,93.81,1.65,14.4,284.1666667,1,0,17.05,1.15,0.09,
1396,Pickle_1-8-5-32H-2,2/4/2025 10:26,161.58,67.94,62.94,93.64,1.19,2/4/2025 10:10,171.09,151.29,81.44,89.65,4.53,9.6,426.25,1,0,15.71666667,1.116666667,0.02,
1395,Pickle_1-8-5-32H-2,2/4/2025 10:09,168.12,86.05,78.11,82.07,1.05,2/4/2025 9:33,173.16,81.69,49.51,123.65,1.35,13.28333333,308.055207,1,0,36.18333333,1.166666667,0.12,
1394,Pickle_1-8-5-32H-2,2/4/2025 9:32,168.12,65.17,62.12,102.95,1.31,2/4/2025 8:57,167.66,61.28,47.56,120.1,1.13,30.38333333,134.6791004,1,0,34.53333333,1.116666667,0.18,
1393,Pickle_1-8-5-32H-2,2/4/2025 8:56,158.61,49.12,45.7,109.5,1.4,2/4/2025 8:16,162.24,55.4,32.96,129.28,1.21,36.13333333,113.2472325,1,0,40.11666667,1.183333333,0.01,
1392,Pickle_1-8-5-32H-2,2/4/2025 8:15,156.77,44.93,41.58,111.83,1.43,2/4/2025 7:47,166.71,83.86,28.34,138.37,1.67,23.76666667,172.173913,1,0,27.38333333,1.116666667,0.13,
1391,Pickle_1-8-5-32H-2,2/4/2025 7:46,164.63,35.56,31.62,129.07,1.65,2/4/2025 7:28,168.73,123.82,67.77,100.96,2.25,12.51666667,326.9241012,1,0,18.2,1.116666667,0.12,
1390,Pickle_1-8-5-32H-2,2/4/2025 7:27,165.84,70.77,64.24,95.08,1.21,2/4/2025 7:05,168.64,77.51,30.27,138.37,1.52,13.55,301.9926199,1,0,21.38333333,1.1,0.05,
1389,Pickle_1-8-5-32H-2,2/4/2025 7:04,167.11,37.24,33.61,129.88,1.66,2/4/2025 6:44,166.48,71.14,39.58,126.89,1.33,16.2,252.5925926,1,0,20.1,1.116666667,0.09,
1388,Pickle_1-8-5-32H-2,2/4/2025 6:43,164.26,44.13,40.22,120.13,1.53,2/4/2025 6:31,159.65,92.56,30.4,129.25,1.93,8.533333333,479.53125,1,0,12.53333333,1.116666667,0.04,
1387,Pickle_1-8-5-32H-2,2/4/2025 6:29,158.55,39.51,33.23,119.04,1.52,2/4/2025 6:05,163.89,69.84,40.11,123.78,1.32,16.56666667,247.0020121,1,0,24.3,1.1,0.13,
1386,Pickle_1-8-5-32H-2,2/4/2025 6:04,160.4,46.95,43.64,113.45,1.45,2/4/2025 5:41,163.02,125.75,43.61,119.41,3.2,18.85,217.0822281,1,0,22.91666667,1.133333333,0.06,
1385,Pickle_1-8-5-32H-2,2/4/2025 5:40,162.1,58.92,50.04,103.18,1.32,2/4/2025 4:53,167.34,91.73,31.86,135.49,1.79,12.4,330,1,0,46.91666667,1.116666667,0.17,
1384,Pickle_1-8-5-32H-2,2/4/2025 4:52,166.42,42.11,36.7,124.31,1.59,2/4/2025 4:33,166.54,79.7,57.08,109.46,1.26,16.3,251.0429448,1,0,19.28333333,1.1,0.12,
1383,Pickle_1-8-5-32H-2,2/4/2025 4:32,160.17,72.15,68.62,88.02,1.12,2/4/2025 3:59,162.33,60.85,29.48,132.85,1.31,28.88333333,141.6733987,1,0,32.41666667,1.1,0.15,
1382,Pickle_1-8-5-32H-2,2/4/2025 3:58,160.46,34.96,32.5,125.5,1.6,2/4/2025 3:40,165.41,110.96,48,117.41,2.16,14.61666667,279.95439,1,0,18.25,1.1,0.08,
1381,Pickle_1-8-5-32H-2,2/4/2025 3:39,163.14,51.83,45.64,111.31,1.42,2/4/2025 3:16,170.48,134.66,61.8,108.69,3.03,11.01666667,371.4372163,1,0,22.33333333,1.116666667,0.09,
1380,Pickle_1-8-5-32H-2,2/4/2025 3:15,166.51,65.52,57.17,100.99,1.29,2/4/2025 2:49,172.41,95.27,53.81,118.61,1.54,15.05,271.8936877,1,0,25.8,1.116666667,0.12,
1379,Pickle_1-8-5-32H-2,2/4/2025 2:48,169.25,70.42,66.84,98.82,1.26,2/4/2025 2:07,167.03,65.95,42.25,124.78,1.23,36.58333333,111.8542141,1,0,41.01666667,1.133333333,0.17,
1378,Pickle_1-8-5-32H-2,2/4/2025 2:06,163.57,47.67,44.29,115.89,1.48,2/4/2025 1:42,161.21,67.08,30.54,130.66,1.39,20.18333333,202.7415359,1,0,23.93333333,1.166666667,0.06,
1377,Pickle_1-8-5-32H-2,2/4/2025 1:41,158.3,35.25,30.9,123.05,1.57,2/4/2025 1:21,159.65,71.52,42.7,116.95,1.33,17.08333333,239.5317073,1,0,20.43333333,1.133333333,0.07,
1376,Pickle_1-8-5-32H-2,2/4/2025 1:20,155.67,55.4,51.69,100.27,1.28,2/4/2025 1:01,162.42,93.08,29.69,132.72,1.91,15.63333333,261.7484009,1,0,18.98333333,1.116666667,0.13,
1375,Pickle_1-8-5-32H-2,2/4/2025 0:59,158.5,43.9,36.57,114.6,1.46,2/4/2025 0:45,166.65,137.94,74.21,92.45,3.22,9.483333333,431.4938489,1,0,14.26666667,1.133333333,0.17,
1374,Pickle_1-8-5-32H-2,2/4/2025 0:44,163.34,77.37,70.36,85.97,1.1,2/4/2025 0:19,169.94,109.4,40.66,129.28,2.14,12.83333333,318.8571429,1,0,24.61666667,1.166666667,0.09,
1373,Pickle_1-8-5-32H-2,2/4/2025 0:18,167.34,50.9,43.64,116.44,1.49,2/4/2025 0:02,168.64,102.65,39.68,128.96,1.95,12.43333333,329.1152815,1,0,16.58333333,1.15,0.15,
1372,Pickle_1-8-5-32H-2,2/4/2025 0:00,164.87,52.57,47.61,112.29,1.43,2/3/2025 23:44,168.73,83.71,42.33,126.4,1.49,12.6,324.7619048,1,0,16.8,1.15,0.19,
1371,Pickle_1-8-5-32H-2,2/3/2025 23:43,162.76,61.43,57.21,101.34,1.29,2/3/2025 23:21,167.14,87.69,43.74,123.4,1.55,18.56666667,220.3949731,1,0,21.51666667,1.1,0.22,
1370,Pickle_1-8-5-32H-2,2/3/2025 23:20,165.84,60.76,56.66,105.08,1.34,2/3/2025 23:04,163.57,121.16,72.74,90.83,2.14,12.46666667,328.2352941,1,0,16.15,1.116666667,0.2,
1369,Pickle_1-8-5-32H-2,2/3/2025 23:03,159.42,78.29,73.09,81.13,1.03,2/3/2025 22:37,171.06,135.38,77.94,93.12,2.61,16.46666667,248.5020243,1,0,25.58333333,1.15,0.12,
1368,Pickle_1-8-5-32H-2,2/3/2025 22:36,166.91,88.93,81.87,77.98,0.99,2/3/2025 22:05,175.58,111.33,68.39,107.19,1.67,14.21666667,287.8311841,1,0,31.35,1.183333333,0.15,
1367,Pickle_1-8-5-32H-2,2/3/2025 22:03,172.99,77.74,73.77,95.25,1.22,2/3/2025 21:34,170.22,104.82,53.96,116.26,1.78,24.31666667,168.2796436,1,0,29.48333333,1.116666667,0.13,
1366,Pickle_1-8-5-32H-2,2/3/2025 21:33,166.88,57.16,50.67,109.72,1.4,2/3/2025 21:14,167.89,93.54,64.64,103.25,1.39,12.9,317.2093023,1,0,18.53333333,1.166666667,0.1,
1365,Pickle_1-8-5-32H-2,2/3/2025 21:13,163.65,75.41,71.91,88.25,1.13,2/3/2025 20:50,167.8,82.27,55.11,112.7,1.32,20.36666667,200.9165303,1,0,23.43333333,1.166666667,0.13,
1364,Pickle_1-8-5-32H-2,2/3/2025 20:49,160.17,58.14,52.76,102.03,1.3,2/3/2025 20:33,170.71,126.53,65.87,104.85,2.37,12.33333333,331.7837838,1,0,15.06666667,1.1,0.07,
1363,Pickle_1-8-5-32H-2,2/3/2025 20:32,168.27,68.4,61.07,99.86,1.27,2/3/2025 19:41,175.93,72.24,29.11,146.82,1.42,16.25,251.8153846,1,0,51.28333333,1.15,0.08,
1362,Pickle_1-8-5-32H-2,2/3/2025 19:40,174.58,34.27,30.47,140.31,1.79,2/3/2025 19:22,174.35,61.22,28.05,146.29,1.29,14.25,287.1578947,1,0,18.33333333,1.15,0.08,
1361,Pickle_1-8-5-32H-2,2/3/2025 19:20,171.35,34.87,30.94,136.48,1.74,2/3/2025 18:32,172.24,51.19,26.88,145.36,1.2,45.01666667,90.89966679,1,0,48.31666667,1.216666667,0.09,
1360,Pickle_1-8-5-32H-2,2/3/2025 18:31,170.4,35.19,31.87,135.21,1.72,2/3/2025 18:26,173.77,117.47,74.4,99.37,1.77,0.466666667,8768.571429,1,0,5.033333333,1.216666667,0.1,
1359,Pickle_1-8-5-32H-2,2/3/2025 18:25,172.1,96.69,93.52,75.41,0.96,2/3/2025 17:43,204.75,206.21,199.3,5.45,-3.71,34.1,120,1,0,41.5,1.116666667,0.26,
1358,Pickle_1-8-5-32H-2,2/3/2025 17:42,204.14,206.21,202.81,-2.07,-0.03,2/3/2025 16:52,165.59,165.53,147.38,18.2,348.1,50.05,81.75824176,0,1,50.05,1.116666667,0,
1357,Pickle_1-8-5-32H-2,2/3/2025 16:51,160.31,148.41,143.53,11.9,0.15,2/3/2025 16:35,166.22,93.11,28.86,137.35,1.88,14.63333333,279.6355353,1,0,16.13333333,1.116666667,0.07,
